fpr,tpr,threshold
0.0,0.0,inf
0.0005659309564233164,0.08028821410190427,1.0
0.0005659309564233164,0.08080288214101904,0.9996465128975024
0.0005659309564233164,0.08183221821924859,0.9995620117022357
0.0005659309564233164,0.08389089037570767,0.9994244188630605
0.0005659309564233164,0.08646423057128153,0.9991607802475536
0.0005659309564233164,0.08697889861039629,0.9989114902916701
0.0005659309564233164,0.0885229027277406,0.9984515126150904
0.0005659309564233164,0.08955223880597014,0.9978759314781509
0.0006602527824938691,0.0905815748841997,0.9978441817879141
0.0007545746085644218,0.092125579001544,0.9973182853592877
0.0007545746085644218,0.09366958311888832,0.9962201884255406
0.0007545746085644218,0.09469891919711786,0.9960638054777342
0.0008488964346349745,0.09469891919711786,0.995912620380516
0.0008488964346349745,0.09521358723623263,0.992882407466592
0.0011318619128466328,0.12197632527020072,0.99
0.0011318619128466328,0.12300566134843026,0.9895620117022357
0.0011318619128466328,0.12557900154400412,0.9887227919497893
0.0011318619128466328,0.12866700977869275,0.9884515126150903
0.0011318619128466328,0.13021101389603706,0.9873182853592877
0.0011318619128466328,0.13226968605249614,0.9812580223151727
0.0015091492171288435,0.14410705095213588,0.98
0.001697792869269949,0.14462171899125065,0.9797239665267656
0.001697792869269949,0.1451363870303654,0.9795620117022357
0.001697792869269949,0.1471950591868245,0.9791607802475536
0.001697792869269949,0.14770972722593928,0.9791269195553922
0.0017921146953405018,0.1487390633041688,0.9784515126150903
0.0017921146953405018,0.15028306742151312,0.977612292862644
0.0017921146953405018,0.15131240349974268,0.9773182853592877
0.0017921146953405018,0.15388574369531652,0.9729668307079148
0.0018864365214110545,0.15388574369531652,0.9709687810772699
0.0018864365214110545,0.16263510036026763,0.97
0.0018864365214110545,0.16366443643849718,0.9691607802475537
0.0018864365214110545,0.16572310859495626,0.9684515126150903
0.0018864365214110545,0.16675244467318578,0.9676122928626439
0.0018864365214110545,0.1682964487905301,0.9657697979743779
0.0019807583474816073,0.1682964487905301,0.9657618466435328
0.0019807583474816073,0.1688111168296449,0.9657567972218938
0.00207508017355216,0.16932578486875965,0.9656166779355552
0.00207508017355216,0.16984045290787442,0.9645642698007814
0.002169401999622713,0.17035512094698918,0.9638060504603613
0.0025466893039049238,0.17035512094698918,0.9619240299023432
0.0025466893039049238,0.17138445702521873,0.9607041105718505
0.0029239766081871343,0.1770458054554812,0.96
0.003018298434257687,0.1770458054554812,0.9597761026297136
0.00311262026032824,0.17756047349459597,0.9591607802475537
0.00311262026032824,0.1791044776119403,0.958116093989717
0.00311262026032824,0.18013381369016984,0.9580273610498292
0.00311262026032824,0.1806484817292846,0.958013524317326
0.00311262026032824,0.18167781780751416,0.9576122928626439
0.00311262026032824,0.18373648996397324,0.955769797974378
0.0032069420863987926,0.18373648996397324,0.9554882243407948
0.0032069420863987926,0.1847658260422028,0.9549305782219315
0.0033012639124693453,0.1847658260422028,0.9545153180928245
0.0033012639124693453,0.18579516212043232,0.9542250449650092
0.003395585738539898,0.18579516212043232,0.9532149578233394
0.003395585738539898,0.18630983015954708,0.9525428710845756
0.0035842293906810036,0.1893978383942357,0.95
0.0036785512167515563,0.1893978383942357,0.9482848036520248
0.0036785512167515563,0.19248584662892435,0.9449045391831539
0.0036785512167515563,0.1935151827071539,0.9430617562876652
0.0036785512167515563,0.19866186309830158,0.94
0.003772873042822109,0.19866186309830158,0.9389114902916701
0.003772873042822109,0.2007205352547607,0.9385851991106142
0.003961516694963215,0.2007205352547607,0.9384515126150903
0.003961516694963215,0.20123520329387545,0.9383215604951073
