id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,hour,day_of_week,month,is_weekend
14119566,JK160067,2026-02-23 23:45:00,049XX W IRVING PARK RD,1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,APARTMENT,False,False,1634,16,45,15.0,11,1142560.0,1926137.0,2026,2026-03-03 15:45:04,41.953374319,-87.751336064,"(41.953374319, -87.751336064)",23,Monday,2,0
14120280,JK160731,2026-02-23 23:40:00,030XX N SHERIDAN RD,810,THEFT,OVER $500,STREET,False,False,1934,19,44,6.0,6,1173043.0,1920418.0,2026,2026-03-03 15:45:04,41.937058463,-87.639448474,"(41.937058463, -87.639448474)",23,Monday,2,0
14119554,JK160066,2026-02-23 23:37:00,022XX N LOREL AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE - YARD (FRONT / BACK),False,False,2515,25,36,19.0,15,1140351.0,1914376.0,2026,2026-03-03 15:45:04,41.92114183,-87.75974592,"(41.92114183, -87.75974592)",23,Monday,2,0
14119583,JK160068,2026-02-23 23:30:00,022XX W DIVISION ST,484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,False,False,1212,12,1,24.0,08B,1161104.0,1907941.0,2026,2026-03-03 15:45:04,41.903077492,-87.683673325,"(41.903077492, -87.683673325)",23,Monday,2,0
14119665,JK160124,2026-02-23 23:30:00,063XX S CHAMPLAIN AVE,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,312,3,20,42.0,6,1181657.0,1863140.0,2026,2026-03-03 15:45:04,41.779688719,-87.609565673,"(41.779688719, -87.609565673)",23,Monday,2,0
14119608,JK160076,2026-02-23 23:30:00,002XX S CLINTON ST,460,BATTERY,SIMPLE,STREET,False,False,121,1,34,28.0,08B,1172772.0,1898961.0,2026,2026-03-03 15:45:04,41.878185359,-87.641080837,"(41.878185359, -87.641080837)",23,Monday,2,0
14119578,JK160058,2026-02-23 23:27:00,017XX N WASHTENAW AVE,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,True,True,1421,14,26,24.0,04B,1158099.0,1911432.0,2026,2026-03-03 15:45:04,41.912718998,-87.694615816,"(41.912718998, -87.694615816)",23,Monday,2,0
14119624,JK160052,2026-02-23 23:11:00,041XX N MOODY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,1624,16,38,15.0,26,1134610.0,1926974.0,2026,2026-03-03 15:45:04,41.955815562,-87.780541564,"(41.955815562, -87.780541564)",23,Monday,2,0
14119551,JK160044,2026-02-23 23:05:00,030XX S ALBANY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1033,10,25,30.0,08B,1156173.0,1884416.0,2026,2026-03-03 15:45:04,41.838623504,-87.702421038,"(41.838623504, -87.702421038)",23,Monday,2,0
14119599,JK160070,2026-02-23 23:02:00,008XX W BELMONT AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,False,False,1924,19,44,6.0,08B,1170308.0,1921460.0,2026,2026-03-03 15:45:04,41.93997806,-87.649469376,"(41.93997806, -87.649469376)",23,Monday,2,0
14120576,JK161264,2026-02-23 23:00:00,026XX S CENTRAL PARK AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1032,10,22,30.0,14,1152798.0,1886147.0,2026,2026-03-03 15:45:04,41.843440944,-87.714759952,"(41.843440944, -87.714759952)",23,Monday,2,0
14119668,JK160150,2026-02-23 23:00:00,008XX W 61ST ST,920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,712,7,16,68.0,7,1171553.0,1864395.0,2026,2026-03-03 15:45:04,41.78335998,-87.646571322,"(41.78335998, -87.646571322)",23,Monday,2,0
14119541,JK160039,2026-02-23 23:00:00,051XX S DORCHESTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,234,2,4,41.0,14,1186421.0,1871285.0,2026,2026-03-03 15:45:04,41.801927878,-87.591842926,"(41.801927878, -87.591842926)",23,Monday,2,0
14119611,JK160069,2026-02-23 23:00:00,078XX S MORGAN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,612,6,17,71.0,08B,1171005.0,1852824.0,2026,2026-03-03 15:45:04,41.75161972,-87.648918043,"(41.75161972, -87.648918043)",23,Monday,2,0
14119662,JK160163,2026-02-23 23:00:00,014XX N KOSTNER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2533,25,37,23.0,7,1146778.0,1909254.0,2026,2026-03-03 15:45:04,41.906966158,-87.73626237,"(41.906966158, -87.73626237)",23,Monday,2,0
14120165,JK160704,2026-02-23 22:50:00,079XX S PULASKI RD,920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,834,8,18,70.0,7,1151106.0,1851503.0,2026,2026-03-03 15:45:04,41.748405907,-87.721873587,"(41.748405907, -87.721873587)",22,Monday,2,0
14119590,JK160060,2026-02-23 22:50:00,055XX S HARPER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,235,2,5,41.0,14,1187383.0,1868390.0,2026,2026-03-03 15:45:04,41.793960961,-87.58840695,"(41.793960961, -87.58840695)",22,Monday,2,0
14119544,JK160024,2026-02-23 22:44:00,050XX S INDIANA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,224,2,3,38.0,15,1178450.0,1871751.0,2026,2026-03-03 15:45:04,41.803391597,-87.621061298,"(41.803391597, -87.621061298)",22,Monday,2,0
